#1 
double data(35040,10) 
#Time [s], Active power [W], Reactive power [W], Radiative heat gains [W], Convective heat gains [W], Hot water demand [l/min], Occupancy [# people awake], Occupancy [# people asleep], Setpoint SH DayZone [K], Setpoint SH NightZone [K]
38700,644,0,134,206,0.6,2,0,293.15,289.15
39600,817,0,224,306,0.13,2,0,293.15,289.15
40500,1154,0,270,590,0,2,0,293.15,289.15
41400,792,0,219,281,0,2,0,293.15,289.15
42300,3140,0,566,2268,0,2,0,293.15,289.15
43200,2735,0,493,1936,0,2,0,293.15,289.15
44100,2579,0,553,1958,0,2,0,293.15,289.15
45000,2312,0,852,1475,0,2,0,293.15,289.15
45900,1446,0,763,696,0.07,1,1,293.15,289.15
46800,392,0,225,164,0,1,1,293.15,289.15
47700,213,0,137,74,0,1,1,293.15,289.15
48600,302,0,178,131,0,1,1,293.15,289.15
49500,483,0,264,240,0,2,0,293.15,289.15
50400,489,0,283,217,0.13,2,0,293.15,289.15
51300,433,0,267,164,0.13,2,0,293.15,289.15
52200,864,0,288,573,0.13,2,0,293.15,289.15
53100,731,0,263,468,0.07,2,0,293.15,289.15
54000,671,0,358,336,0,2,0,293.15,289.15
54900,624,0,339,302,0,2,0,293.15,289.15
55800,453,0,271,179,0,2,0,293.15,289.15
56700,484,0,293,188,0.13,2,0,293.15,289.15
57600,440,0,270,167,0.07,2,0,293.15,289.15
58500,1062,0,443,638,0.8,2,0,293.15,289.15
59400,965,0,429,558,0.8,2,0,293.15,289.15
60300,2704,0,727,1974,0.8,2,0,293.15,289.15
61200,2061,0,580,1478,1.2,2,0,293.15,289.15
62100,532,0,335,194,0,1,0,293.15,289.15
63000,686,0,407,291,0,2,0,293.15,289.15
63900,753,0,418,364,0.07,2,0,293.15,289.15
64800,535,0,338,195,0.4,2,0,293.15,289.15
65700,535,0,338,195,0.47,2,0,293.15,289.15
66600,526,0,329,194,0,2,0,293.15,289.15
67500,584,0,342,247,0,2,0,293.15,289.15
68400,730,0,389,371,0.13,2,0,293.15,289.15
69300,523,0,312,213,1.6,2,0,293.15,289.15
70200,674,0,317,188,0.2,2,0,293.15,289.15
71100,2195,0,349,595,0.87,2,0,293.15,289.15
72000,1724,0,288,192,0.13,2,0,293.15,289.15
72900,828,0,413,359,0,2,0,293.15,289.15
73800,546,0,313,241,0.93,2,0,293.15,289.15
74700,442,0,270,169,0,2,0,293.15,289.15
75600,527,0,333,192,0,1,1,293.15,291.15
76500,875,0,354,524,0.2,1,1,293.15,291.15
77400,765,0,441,344,0,1,1,293.15,291.15
78300,723,0,424,314,0.13,1,1,293.15,291.15
79200,483,0,301,179,0.13,1,1,293.15,291.15
80100,408,0,254,152,0.4,1,1,293.15,291.15
81000,476,0,288,192,0.13,1,1,293.15,291.15
81900,338,0,191,161,0.8,0,2,293.15,291.15
82800,283,0,158,141,0,0,2,289.15,291.15
83700,125,0,77,51,0,0,2,289.15,291.15
84600,50,0,31,16,0,0,2,289.15,291.15
85500,112,0,59,56,0,0,2,289.15,291.15
86400,195,0,97,109,0,0,2,289.15,291.15
87300,202,0,101,114,0,0,2,289.15,291.15
88200,164,0,83,89,0,0,2,289.15,291.15
89100,50,0,31,16,0,0,2,289.15,291.15
90000,112,0,59,56,0,0,2,289.15,291.15
90900,195,0,97,109,0,0,2,289.15,291.15
91800,139,0,72,73,0,0,2,289.15,291.15
92700,227,0,112,130,0,0,2,289.15,291.15
93600,50,0,31,16,0,0,2,289.15,291.15
94500,112,0,59,56,0,0,2,289.15,291.15
95400,195,0,97,109,0,0,2,289.15,291.15
96300,75,0,43,33,0,0,2,289.15,291.15
97200,240,0,118,138,0,0,2,289.15,291.15
98100,101,0,54,49,0,0,2,289.15,291.15
99000,112,0,59,56,0,0,2,289.15,291.15
99900,195,0,97,109,0,0,2,289.15,291.15
100800,50,0,31,16,0,0,2,289.15,291.15
101700,202,0,101,114,0,0,2,289.15,291.15
102600,164,0,83,89,0,0,2,289.15,291.15
103500,112,0,59,56,0,0,2,289.15,291.15
104400,195,0,97,109,0,0,2,289.15,291.15
105300,50,0,31,16,0,0,2,289.15,291.15
106200,139,0,72,73,0,0,2,289.15,291.15
107100,227,0,112,130,0,0,2,289.15,291.15
108000,112,0,59,56,0,0,2,293.15,291.15
108900,195,0,97,109,0,0,2,293.15,291.15
109800,50,0,31,16,0,0,2,293.15,291.15
110700,75,0,43,33,0,0,2,293.15,291.15
111600,240,0,118,138,0,0,2,293.15,291.15
112500,163,0,83,88,0,0,2,293.15,291.15
113400,195,0,97,109,0,0,2,293.15,291.15
114300,50,0,31,16,0,0,2,293.15,291.15
115200,50,0,31,16,0,0,2,293.15,289.15
116100,202,0,101,114,0,0,2,293.15,289.15
117000,226,0,112,129,0,0,2,293.15,289.15
117900,195,0,97,109,0,0,2,293.15,289.15
118800,50,0,31,16,0,0,2,293.15,289.15
119700,154,0,88,63,0,1,1,293.15,289.15
120600,328,0,176,158,0.07,1,1,293.15,289.15
121500,460,0,235,246,0.13,1,1,293.15,289.15
122400,355,0,185,181,0.4,1,1,293.15,289.15
123300,210,0,119,88,0,1,1,293.15,289.15
124200,210,0,119,88,0.07,1,1,293.15,289.15
125100,262,0,131,111,0.4,1,1,293.15,289.15
126000,813,0,205,327,0,1,1,293.15,289.15
126900,650,0,121,242,0,0,1,293.15,289.15
127800,455,0,31,117,0,0,1,293.15,289.15
128700,455,0,31,117,0,0,1,293.15,289.15
129600,455,0,31,117,0.07,0,1,293.15,289.15
130500,1200,0,278,637,0.6,2,0,293.15,289.15
131400,944,0,289,375,1.07,1,1,293.15,289.15
132300,840,0,266,269,0,1,1,293.15,289.15
133200,668,0,276,227,0,1,1,293.15,289.15
134100,452,0,276,173,0,1,1,293.15,289.15
135000,514,0,288,238,0,1,1,293.15,289.15
135900,703,0,367,345,0,2,0,293.15,289.15
136800,678,0,169,203,0,1,0,293.15,289.15
137700,646,0,148,192,0.13,1,0,293.15,289.15
138600,646,0,148,192,0.07,1,0,293.15,289.15
139500,740,0,194,248,0.8,1,0,293.15,289.15
140400,976,0,297,406,0.07,1,0,293.15,289.15
141300,700,0,174,225,0.13,1,0,293.15,289.15
142200,755,0,221,228,0.07,1,0,293.15,289.15
143100,1219,0,327,585,0.13,1,0,293.15,289.15
144000,526,0,284,205,0.13,1,0,293.15,289.15
144900,700,0,386,341,0,1,0,293.15,289.15
145800,487,0,278,217,0,1,0,293.15,289.15
146700,496,0,304,189,0,1,0,293.15,289.15
147600,504,0,309,192,0.13,1,0,293.15,289.15
148500,566,0,338,232,0,1,0,293.15,289.15
149400,735,0,414,341,0,1,0,293.15,289.15
150300,564,0,312,268,0.13,1,0,293.15,289.15
151200,339,0,199,137,0,1,0,293.15,289.15
152100,371,0,220,149,0,1,0,293.15,289.15
153000,458,0,271,190,0,1,0,293.15,289.15
153900,661,0,384,291,0.13,1,0,293.15,289.15
154800,714,0,415,315,0,1,0,293.15,289.15
155700,461,0,277,186,0,1,0,293.15,289.15
156600,475,0,296,177,0.8,1,0,293.15,289.15
157500,2227,0,446,702,0,1,0,293.15,289.15
158400,3999,0,720,2042,0.07,1,0,293.15,289.15
159300,2128,0,548,1426,0,1,0,293.15,289.15
160200,1018,0,429,597,0.8,1,0,293.15,289.15
161100,448,0,280,166,0,1,0,293.15,289.15
162000,476,0,288,192,0.13,1,0,293.15,291.15
162900,570,0,331,250,0.13,1,0,293.15,291.15
163800,615,0,373,248,0.2,1,0,293.15,291.15
164700,592,0,341,266,0,1,0,293.15,291.15
165600,391,0,238,150,0.2,1,0,293.15,291.15
166500,558,0,333,229,0.8,1,0,293.15,291.15
167400,636,0,373,275,0.13,1,0,293.15,291.15
168300,468,0,286,182,0.47,1,0,293.15,291.15
169200,514,0,305,225,0,0,1,289.15,291.15
170100,285,0,183,105,0,0,1,289.15,291.15
171000,256,0,159,100,0,0,1,289.15,291.15
171900,316,0,176,151,0,0,1,289.15,291.15
172800,74,0,47,25,0,0,1,289.15,291.15
173700,202,0,101,114,0,0,1,289.15,291.15
174600,164,0,83,89,0,0,1,289.15,291.15
175500,112,0,59,56,0,0,1,289.15,291.15
176400,195,0,97,109,0,0,1,289.15,291.15
177300,50,0,31,16,0,0,1,289.15,291.15
178200,139,0,72,73,0,0,1,289.15,291.15
179100,227,0,112,130,0,0,1,289.15,291.15
180000,112,0,59,56,0,0,1,289.15,291.15
180900,195,0,97,109,0,0,1,289.15,291.15
181800,50,0,31,16,0,0,1,289.15,291.15
182700,75,0,43,33,0,0,1,289.15,291.15
183600,240,0,118,138,0,0,1,289.15,291.15
184500,163,0,83,88,0,0,1,289.15,291.15
185400,195,0,97,109,0,0,1,289.15,291.15
186300,50,0,31,16,0,0,1,289.15,291.15
187200,50,0,31,16,0,0,1,289.15,291.15
188100,202,0,101,114,0,0,1,289.15,291.15
189000,226,0,112,129,0,0,1,289.15,291.15
189900,195,0,97,109,0,0,1,289.15,291.15
190800,50,0,31,16,0,0,1,289.15,291.15
191700,50,0,31,16,0,0,1,289.15,291.15
192600,139,0,72,73,0,0,1,289.15,291.15
193500,289,0,141,170,0,0,1,289.15,291.15
194400,195,0,97,109,0,0,1,293.15,291.15
195300,50,0,31,16,0,0,1,293.15,291.15
196200,50,0,31,16,0,0,1,293.15,291.15
197100,75,0,43,33,0,0,1,293.15,291.15
198000,361,0,179,204,0,1,0,293.15,291.15
198900,384,0,197,204,0.2,1,0,293.15,291.15
199800,247,0,139,105,0.07,1,0,293.15,291.15
200700,250,0,141,106,0.4,1,0,293.15,291.15
201600,250,0,141,106,0.6,1,0,293.15,289.15
202500,464,0,239,243,0,1,0,293.15,289.15
203400,509,0,260,272,0.8,1,0,293.15,289.15
204300,250,0,141,106,0,1,0,293.15,289.15
205200,383,0,164,217,0.13,1,0,293.15,289.15
206100,650,0,209,438,0.07,1,0,293.15,289.15
207000,401,0,210,203,0.07,1,0,293.15,289.15
207900,572,0,289,312,0,1,0,293.15,289.15
208800,250,0,141,106,0,1,0,293.15,289.15
209700,226,0,128,96,0.07,1,0,293.15,289.15
210600,221,0,129,89,0.07,1,0,293.15,289.15
211500,329,0,188,147,0,1,0,293.15,289.15
212400,576,0,302,305,0,1,0,293.15,289.15
213300,292,0,171,123,0.8,1,0,293.15,289.15
214200,352,0,222,127,0,1,0,293.15,289.15
215100,306,0,190,113,0.4,1,0,293.15,289.15
216000,393,0,226,170,0,1,0,293.15,289.15
216900,628,0,334,321,0.13,1,0,293.15,289.15
217800,445,0,250,204,0.13,1,0,293.15,289.15
218700,331,0,198,131,0.27,1,0,293.15,289.15
219600,560,0,222,336,1.07,1,0,293.15,289.15
220500,655,0,272,387,0.8,1,0,293.15,289.15
221400,576,0,316,281,0,1,0,293.15,289.15
222300,522,0,292,245,0,1,0,293.15,289.15
223200,373,0,236,134,0,1,0,293.15,289.15
224100,363,0,227,133,0,1,0,293.15,289.15
225000,958,0,346,615,0.53,1,0,293.15,289.15
225900,476,0,268,222,0,1,0,293.15,289.15
226800,432,0,235,212,0.2,1,0,293.15,289.15
227700,267,0,148,121,0.13,1,0,293.15,289.15
228600,1642,0,373,1266,0.13,1,0,293.15,289.15
229500,2452,0,547,1909,0.07,1,0,293.15,289.15
230400,1145,0,368,789,0.13,1,0,293.15,289.15
231300,445,0,251,207,1.33,1,0,293.15,289.15
232200,430,0,246,193,0,1,0,293.15,289.15
233100,403,0,249,151,0,1,0,293.15,289.15
234000,462,0,275,191,0,1,0,293.15,289.15
234900,516,0,286,241,0,1,0,293.15,289.15
235800,460,0,260,205,0.4,1,0,293.15,289.15
236700,516,0,280,251,0.87,1,0,293.15,289.15
237600,273,0,162,108,0.07,1,0,293.15,289.15
238500,344,0,198,149,0.8,1,0,293.15,289.15
239400,426,0,236,201,0,1,0,293.15,289.15
240300,307,0,182,125,0,1,0,293.15,289.15
241200,472,0,257,230,0.07,1,0,293.15,289.15
242100,857,0,452,407,0,1,0,293.15,289.15
243000,1396,0,727,672,0.13,1,0,293.15,289.15
243900,605,0,340,276,0,1,0,293.15,289.15
244800,414,0,259,152,0.07,1,0,293.15,289.15
245700,564,0,327,249,0.07,1,0,293.15,289.15
246600,484,0,280,213,0.13,1,0,293.15,289.15
247500,677,0,290,390,0,1,0,293.15,289.15
248400,688,0,345,355,0.13,1,0,293.15,291.15
249300,412,0,258,152,0,1,0,293.15,291.15
250200,503,0,300,209,0,1,0,293.15,291.15
251100,592,0,341,266,0,1,0,293.15,291.15
252000,204,0,129,79,0,0,1,293.15,291.15
252900,226,0,126,111,0,0,1,293.15,291.15
253800,52,0,33,17,0,0,1,293.15,291.15
254700,75,0,43,33,0,0,1,293.15,291.15
255600,240,0,118,138,0,0,1,289.15,291.15
256500,163,0,83,88,0,0,1,289.15,291.15
257400,195,0,97,109,0,0,1,289.15,291.15
258300,50,0,31,16,0,0,1,289.15,291.15
259200,50,0,31,16,0,0,1,289.15,291.15
260100,202,0,101,114,0,0,1,289.15,291.15
261000,226,0,112,129,0,0,1,289.15,291.15
261900,195,0,97,109,0,0,1,289.15,291.15
262800,50,0,31,16,0,0,1,289.15,291.15
263700,50,0,31,16,0,0,1,289.15,291.15
264600,139,0,72,73,0,0,1,289.15,291.15
265500,289,0,141,170,0,0,1,289.15,291.15
266400,195,0,97,109,0,0,1,289.15,291.15
267300,50,0,31,16,0,0,1,289.15,291.15
268200,50,0,31,16,0,0,1,289.15,291.15
269100,75,0,43,33,0,0,1,289.15,291.15
270000,302,0,147,178,0,0,1,289.15,291.15
270900,245,0,121,141,0,0,1,289.15,291.15
271800,50,0,31,16,0,0,1,289.15,291.15
272700,50,0,31,16,0,0,1,289.15,291.15
273600,50,0,31,16,0,0,2,289.15,291.15
274500,264,0,129,153,0,0,2,289.15,291.15
275400,309,0,150,182,0,0,2,289.15,291.15
276300,50,0,31,16,0,0,2,289.15,291.15
277200,50,0,31,16,0,0,2,289.15,291.15
278100,50,0,31,16,0,0,2,289.15,291.15
279000,201,0,100,113,0,0,2,289.15,291.15
279900,372,0,179,222,0,0,2,289.15,291.15
280800,50,0,31,16,0,0,2,293.15,291.15
281700,50,0,31,16,0,0,2,293.15,291.15
282600,50,0,31,16,0,0,2,293.15,291.15
283500,137,0,71,72,0,0,2,293.15,291.15
284400,385,0,185,231,0,0,2,293.15,291.15
285300,101,0,54,49,0,0,2,293.15,291.15
286200,50,0,31,16,0,0,2,293.15,291.15
287100,50,0,31,16,0,0,2,293.15,291.15
288000,379,0,105,277,0,0,2,293.15,289.15
288900,648,0,232,443,0,1,1,293.15,289.15
289800,241,0,126,124,0.07,1,1,293.15,289.15
290700,175,0,100,73,0,2,0,293.15,289.15
291600,245,0,138,104,0.2,2,0,293.15,289.15
292500,312,0,169,146,0,2,0,293.15,289.15
293400,446,0,228,239,0.4,1,0,293.15,289.15
294300,403,0,211,207,0.8,1,0,293.15,289.15
295200,335,0,201,131,0.8,1,0,293.15,289.15
296100,368,0,232,134,0.07,2,0,293.15,289.15
297000,836,0,334,506,0.07,2,0,293.15,289.15
297900,735,0,442,308,0.4,2,0,293.15,289.15
298800,603,0,349,270,0.13,2,0,293.15,289.15
299700,440,0,255,188,0.53,2,0,293.15,289.15
300600,406,0,244,160,0,2,0,293.15,289.15
301500,467,0,273,198,0,1,0,293.15,289.15
302400,437,0,238,211,0,1,0,293.15,289.15
303300,349,0,193,168,0,1,0,293.15,289.15
304200,284,0,161,131,1.6,1,0,293.15,289.15
305100,213,0,136,74,0,1,0,293.15,289.15
306000,275,0,165,114,0.07,1,0,293.15,289.15
306900,394,0,223,182,0.07,1,0,293.15,289.15
307800,925,0,318,613,0,1,0,293.15,289.15
308700,842,0,285,309,0,1,0,293.15,289.15
309600,689,0,184,198,0,1,0,293.15,289.15
310500,786,0,230,256,0,1,0,293.15,289.15
311400,822,0,233,297,0,2,0,293.15,289.15
312300,683,0,165,214,0.2,2,0,293.15,289.15
313200,839,0,238,314,0.13,2,0,293.15,289.15
314100,733,0,198,234,1.2,2,0,293.15,289.15
315000,1374,0,357,717,0.2,2,0,293.15,289.15
315900,921,0,302,328,0.93,2,0,293.15,289.15
316800,728,0,263,240,0,2,0,293.15,289.15
317700,656,0,379,289,1.67,2,0,293.15,289.15
318600,606,0,351,264,0,2,0,293.15,289.15
319500,565,0,336,233,0.33,2,0,293.15,289.15
320400,711,0,419,304,0.2,2,0,293.15,289.15
321300,518,0,324,191,0,2,0,293.15,289.15
322200,382,0,222,167,0,2,0,293.15,289.15
323100,471,0,262,223,0,2,0,293.15,289.15
324000,355,0,209,150,0,2,0,293.15,289.15
324900,395,0,207,199,0.07,2,0,293.15,289.15
325800,250,0,141,106,0.07,2,0,293.15,289.15
326700,431,0,263,168,0,2,0,293.15,289.15
327600,604,0,347,274,0,2,0,293.15,289.15
328500,551,0,327,233,0,2,0,293.15,289.15
329400,680,0,405,287,0,2,0,293.15,289.15
330300,535,0,338,195,0,2,0,293.15,289.15
331200,535,0,338,195,0,2,0,293.15,289.15
332100,687,0,408,292,0.47,2,0,293.15,289.15
333000,705,0,413,307,0.4,2,0,293.15,289.15
333900,668,0,394,286,0,2,0,293.15,289.15
334800,531,0,334,194,0.13,2,0,293.15,291.15
335700,535,0,338,195,0.13,2,0,293.15,291.15
336600,624,0,379,251,0,2,0,293.15,291.15
337500,775,0,448,348,0.07,1,1,293.15,291.15
338400,521,0,307,226,0,1,1,293.15,291.15
339300,203,0,139,61,0,0,2,293.15,291.15
340200,203,0,139,61,0,0,2,293.15,291.15
341100,224,0,146,77,0,0,2,293.15,291.15
342000,423,0,225,220,0,0,2,289.15,291.15
342900,278,0,142,153,0,0,2,289.15,291.15
343800,50,0,31,16,0,0,2,289.15,291.15
344700,50,0,31,16,0,0,2,289.15,291.15
345600,61,0,37,21,0,0,2,289.15,291.15
346500,433,0,231,220,0,1,1,289.15,291.15
347400,483,0,258,248,0.13,1,1,289.15,291.15
348300,171,0,110,59,0,0,2,289.15,291.15
349200,171,0,110,59,0,0,2,289.15,291.15
350100,139,0,89,47,0,0,2,289.15,291.15
351000,201,0,100,113,0,0,2,289.15,291.15
351900,372,0,179,222,0,0,2,289.15,291.15
352800,50,0,31,16,0,0,2,289.15,291.15
353700,50,0,31,16,0,0,2,289.15,291.15
354600,50,0,31,16,0,0,2,289.15,291.15
355500,137,0,71,72,0,0,2,289.15,291.15
356400,385,0,185,231,0,0,2,289.15,291.15
357300,101,0,54,49,0,0,2,289.15,291.15
358200,50,0,31,16,0,0,2,289.15,291.15
359100,50,0,31,16,0,0,2,289.15,291.15
360000,112,0,59,56,0,0,2,289.15,291.15
360900,347,0,167,206,0,0,2,289.15,291.15
361800,164,0,83,89,0,0,2,289.15,291.15
362700,50,0,31,16,0,0,2,289.15,291.15
363600,50,0,31,16,0,0,2,289.15,291.15
364500,112,0,59,56,0,0,2,289.15,291.15
365400,283,0,138,166,0,0,2,289.15,291.15
366300,227,0,112,130,0,0,2,289.15,291.15
367200,50,0,31,16,0,0,2,293.15,291.15
368100,50,0,31,16,0,0,2,293.15,291.15
369000,112,0,59,56,0,0,2,293.15,291.15
369900,220,0,109,125,0,0,2,293.15,291.15
370800,240,0,118,138,0,0,2,293.15,291.15
371700,101,0,54,49,0,0,2,293.15,291.15
372600,50,0,31,16,0,0,2,293.15,291.15
373500,133,0,71,66,0.13,1,1,293.15,291.15
374400,261,0,134,139,0.2,1,1,293.15,289.15
375300,319,0,165,166,0,1,1,293.15,289.15
376200,325,0,182,151,0.2,1,1,293.15,289.15
377100,242,0,148,91,0,1,1,293.15,289.15
378000,314,0,182,135,0.13,1,1,293.15,289.15
378900,426,0,236,201,0.13,1,1,293.15,289.15
379800,349,0,199,156,0.13,1,1,293.15,289.15
380700,348,0,181,182,0.07,1,1,293.15,289.15
381600,418,0,85,128,0,1,1,293.15,289.15
382500,1057,0,213,545,0,2,0,293.15,289.15
383400,735,0,184,259,0.2,1,0,293.15,289.15
384300,607,0,124,179,0,1,0,293.15,289.15
385200,711,0,166,257,0,1,0,293.15,289.15
386100,537,0,83,152,0,1,0,293.15,289.15
387000,585,0,109,176,0,2,0,293.15,289.15
387900,671,0,148,231,0,2,0,293.15,289.15
388800,1645,0,263,1076,1.2,2,0,293.15,289.15
389700,2367,0,470,1889,0.13,1,0,293.15,289.15
390600,181,0,99,91,0.07,1,0,293.15,289.15
391500,208,0,130,81,0,1,0,293.15,289.15
392400,436,0,264,183,0.4,1,0,293.15,289.15
393300,203,0,139,61,0.07,1,0,293.15,289.15
394200,320,0,193,133,0,1,0,293.15,289.15
395100,479,0,274,221,0,1,0,293.15,289.15
396000,189,0,102,91,0.8,1,0,293.15,289.15
396900,253,0,136,128,0,2,0,293.15,289.15
397800,144,0,99,43,0.13,2,0,293.15,289.15
398700,336,0,216,120,0.2,2,0,293.15,289.15
399600,616,0,365,267,0.8,2,0,293.15,289.15
400500,571,0,347,232,0.07,2,0,293.15,289.15
401400,636,0,380,268,0,2,0,293.15,289.15
402300,475,0,293,179,0,2,0,293.15,289.15
403200,357,0,219,135,0,2,0,293.15,289.15
404100,505,0,284,234,0.33,2,0,293.15,289.15
405000,559,0,311,262,0.4,2,0,293.15,289.15
405900,527,0,297,242,0.47,2,0,293.15,289.15
406800,352,0,209,141,0.4,1,0,293.15,289.15
407700,290,0,167,120,0,1,0,293.15,289.15
408600,460,0,260,205,0,1,0,293.15,289.15
409500,610,0,330,302,0,1,0,293.15,289.15
410400,516,0,286,241,0.27,1,0,293.15,289.15
411300,371,0,220,149,0,1,0,293.15,289.15
412200,371,0,220,149,0.07,1,0,293.15,289.15
413100,348,0,200,148,0.4,2,0,293.15,289.15
414000,527,0,278,272,0.4,2,0,293.15,289.15
414900,598,0,338,276,0.2,2,0,293.15,289.15
415800,813,0,327,484,0,2,0,293.15,289.15
416700,447,0,280,163,0,2,0,293.15,289.15
417600,535,0,338,195,0.07,2,0,293.15,289.15
418500,693,0,400,312,0,2,0,293.15,289.15
419400,1327,0,548,803,0,2,0,293.15,289.15
420300,612,0,386,223,0.8,2,0,293.15,289.15
421200,524,0,327,194,0.8,2,0,293.15,291.15
422100,403,0,249,151,0.07,2,0,293.15,291.15
423000,1097,0,418,691,0.93,2,0,293.15,291.15
423900,793,0,444,378,0.53,2,0,293.15,291.15
424800,535,0,338,195,0.07,2,0,293.15,291.15
425700,935,0,406,526,0,2,0,293.15,291.15
426600,533,0,336,194,0,2,0,293.15,291.15
427500,991,0,417,580,0,1,1,293.15,291.15
428400,678,0,313,395,0,0,2,289.15,291.15
429300,101,0,54,49,0,0,2,289.15,291.15
430200,50,0,31,16,0,0,2,289.15,291.15
431100,50,0,31,16,0,0,2,289.15,291.15
432000,112,0,59,56,0,0,2,289.15,291.15
432900,347,0,167,206,0,0,2,289.15,291.15
433800,164,0,83,89,0,0,2,289.15,291.15
434700,50,0,31,16,0,0,2,289.15,291.15
435600,50,0,31,16,0,0,2,289.15,291.15
436500,112,0,59,56,0,0,2,289.15,291.15
437400,283,0,138,166,0,0,2,289.15,291.15
438300,227,0,112,130,0,0,2,289.15,291.15
439200,50,0,31,16,0,0,2,289.15,291.15
440100,50,0,31,16,0,0,2,289.15,291.15
441000,112,0,59,56,0,0,2,289.15,291.15
441900,220,0,109,125,0,0,2,289.15,291.15
442800,240,0,118,138,0,0,2,289.15,291.15
443700,101,0,54,49,0,0,2,289.15,291.15
444600,50,0,31,16,0,0,2,289.15,291.15
445500,112,0,59,56,0,0,2,289.15,291.15
446400,195,0,97,109,0,0,2,289.15,291.15
447300,202,0,101,114,0,0,2,289.15,291.15
448200,164,0,83,89,0,0,2,289.15,291.15
449100,50,0,31,16,0,0,2,289.15,291.15
450000,112,0,59,56,0,0,2,289.15,291.15
450900,195,0,97,109,0,0,2,289.15,291.15
451800,139,0,72,73,0,0,2,289.15,291.15
452700,227,0,112,130,0,0,2,289.15,291.15
453600,50,0,31,16,0,0,2,293.15,291.15
454500,112,0,59,56,0,0,2,293.15,291.15
455400,195,0,97,109,0,0,2,293.15,291.15
456300,139,0,78,61,0.87,1,1,293.15,291.15
457200,320,0,162,174,0,1,1,293.15,291.15
458100,186,0,101,87,0.6,1,1,293.15,291.15
459000,232,0,125,110,0.07,1,1,293.15,291.15
459900,389,0,205,197,0.07,1,1,293.15,291.15
460800,250,0,141,106,0.13,1,1,293.15,289.15
461700,802,0,279,535,0,2,0,293.15,289.15
462600,497,0,216,290,1.2,2,0,293.15,289.15
463500,336,0,182,158,0.47,1,0,293.15,289.15
464400,486,0,253,244,0.2,1,0,293.15,289.15
465300,341,0,186,152,0.07,1,0,293.15,289.15
466200,430,0,227,209,0.07,1,0,293.15,289.15
467100,518,0,268,265,0,1,0,293.15,289.15
468000,611,0,204,228,0,1,0,293.15,289.15
468900,803,0,215,297,0.47,1,0,293.15,289.15
469800,615,0,119,189,0,1,0,293.15,289.15
470700,640,0,131,206,0,1,0,293.15,289.15
471600,912,0,276,349,0.53,1,0,293.15,289.15
472500,773,0,198,280,0.87,1,0,293.15,289.15
473400,811,0,218,301,0.4,1,0,293.15,289.15
474300,637,0,136,195,0.47,1,0,293.15,289.15
475200,626,0,130,190,0,2,0,293.15,289.15
476100,968,0,343,576,0,2,0,293.15,289.15
477000,428,0,224,219,0.13,2,0,293.15,289.15
477900,466,0,255,222,0,2,0,293.15,289.15
478800,342,0,217,123,0,2,0,293.15,289.15
479700,297,0,196,99,0,1,0,293.15,289.15
