#1 
double data(35040,10) 
#Time [s], Active power [W], Reactive power [W], Radiative heat gains [W], Convective heat gains [W], Hot water demand [l/min], Occupancy [# people awake], Occupancy [# people asleep], Setpoint SH DayZone [K], Setpoint SH NightZone [K]
128700,654,0,374,296,0.8,2,0,293.15,293.15
129600,687,0,390,317,0,2,0,293.15,293.15
130500,558,0,326,239,0.53,2,0,293.15,293.15
131400,335,0,205,127,0.4,2,0,293.15,293.15
132300,368,0,232,134,0,2,0,293.15,293.15
133200,400,0,232,176,0.07,2,0,293.15,293.15
134100,454,0,251,220,0.27,1,0,293.15,293.15
135000,403,0,225,191,0,2,0,293.15,293.15
135900,847,0,448,404,0,2,0,293.15,293.15
136800,2242,0,1148,1091,0,2,0,293.15,293.15
137700,243,0,144,98,0.13,1,0,293.15,293.15
138600,252,0,129,139,0,0,0,293.15,293.15
139500,204,0,107,109,0,0,0,293.15,293.15
140400,217,0,113,116,0,0,0,293.15,293.15
141300,98,0,56,43,0,0,0,293.15,293.15
142200,50,0,31,16,0,0,0,293.15,293.15
143100,151,0,78,81,0,0,0,293.15,293.15
144000,277,0,139,155,1.07,1,0,293.15,293.15
144900,198,0,114,91,0.07,1,0,293.15,293.15
145800,336,0,191,159,0.93,1,0,293.15,293.15
146700,277,0,171,104,0,1,0,293.15,293.15
147600,293,0,181,110,0.47,1,0,293.15,293.15
148500,580,0,331,265,0.2,2,0,293.15,293.15
149400,528,0,312,225,0,3,0,293.15,293.15
150300,599,0,358,249,0.8,3,0,293.15,293.15
151200,708,0,422,297,0,3,0,293.15,293.15
152100,737,0,458,276,0.13,4,0,293.15,293.15
153000,1115,0,492,629,0,4,0,293.15,293.15
153900,816,0,471,362,0.13,4,0,293.15,293.15
154800,573,0,356,217,0,4,0,293.15,293.15
155700,670,0,400,280,0,3,0,293.15,293.15
156600,639,0,386,261,0,2,0,293.15,293.15
157500,531,0,334,194,0,2,0,293.15,293.15
158400,623,0,361,277,0.13,1,0,293.15,293.15
159300,598,0,354,253,0.53,1,0,293.15,293.15
160200,525,0,329,195,0.07,1,0,293.15,293.15
161100,690,0,409,294,0,1,0,293.15,293.15
162000,608,0,371,241,0.07,1,0,293.15,293.15
162900,587,0,355,237,0.13,1,0,293.15,293.15
163800,621,0,357,279,0,1,0,293.15,293.15
164700,550,0,334,217,0,1,0,293.15,293.15
165600,545,0,328,218,0,1,0,293.15,293.15
166500,686,0,406,293,0.13,1,0,293.15,293.15
167400,571,0,352,221,0.93,1,0,293.15,293.15
168300,664,0,387,290,0.07,1,0,293.15,293.15
169200,461,0,260,212,0,3,0,289.15,291.15
170100,908,0,322,583,0.07,2,1,289.15,291.15
171000,478,0,275,207,0.8,1,3,289.15,291.15
171900,1220,0,485,748,0.13,2,3,289.15,291.15
172800,643,0,389,259,0.8,1,4,289.15,291.15
173700,671,0,387,300,0,1,4,289.15,291.15
174600,465,0,283,185,0.13,1,4,289.15,291.15
175500,407,0,253,152,0,1,4,289.15,291.15
176400,249,0,149,108,0,0,5,289.15,291.15
177300,189,0,97,103,0,0,5,289.15,291.15
178200,202,0,101,114,0,0,5,289.15,291.15
179100,202,0,101,114,0,0,5,289.15,291.15
180000,50,0,31,16,0,0,5,289.15,291.15
180900,50,0,31,16,0,0,5,289.15,291.15
181800,184,0,93,102,0,0,5,289.15,291.15
182700,204,0,102,115,0,0,5,289.15,291.15
183600,240,0,118,138,0,0,5,289.15,291.15
184500,113,0,60,57,0,0,5,289.15,291.15
185400,50,0,31,16,0,0,5,289.15,291.15
186300,60,0,36,23,0,0,5,289.15,291.15
187200,205,0,102,116,0,0,5,289.15,291.15
188100,262,0,128,152,0,0,5,289.15,291.15
189000,215,0,107,122,0,0,5,289.15,291.15
189900,50,0,31,16,0,0,5,289.15,291.15
190800,50,0,31,16,0,0,5,289.15,291.15
191700,91,0,50,43,0,0,5,289.15,291.15
192600,243,0,120,140,0,0,5,289.15,291.15
193500,293,0,143,170,0.13,1,4,289.15,291.15
194400,160,0,83,82,0.87,1,4,289.15,291.15
195300,221,0,133,85,0.53,1,4,289.15,291.15
196200,251,0,154,95,0.93,1,4,289.15,291.15
197100,345,0,199,151,0,1,4,289.15,291.15
198000,586,0,312,299,0.07,1,4,289.15,291.15
198900,359,0,196,179,0,0,5,289.15,291.15
199800,115,0,73,39,0,0,5,289.15,291.15
200700,50,0,31,16,0,0,5,289.15,291.15
201600,50,0,31,16,0,0,5,293.15,293.15
202500,179,0,90,99,0,0,5,293.15,293.15
203400,374,0,180,224,0,0,4,293.15,293.15
204300,181,0,95,92,0,1,3,293.15,293.15
205200,130,0,75,52,0,2,2,293.15,293.15
206100,175,0,100,73,0.4,3,1,293.15,293.15
207000,239,0,135,102,0.13,3,1,293.15,293.15
207900,464,0,236,250,0.87,3,1,293.15,293.15
208800,503,0,254,276,0.6,3,1,293.15,293.15
209700,320,0,193,125,0.8,2,1,293.15,293.15
210600,210,0,119,88,0,3,0,293.15,293.15
211500,210,0,119,88,0,2,0,293.15,293.15
212400,233,0,129,103,0,2,0,293.15,293.15
213300,555,0,278,309,0,1,0,293.15,293.15
214200,384,0,199,199,0,1,0,293.15,293.15
215100,210,0,119,88,0.8,1,0,293.15,293.15
216000,218,0,124,91,0,1,0,293.15,293.15
216900,335,0,201,131,0.8,2,0,293.15,293.15
217800,638,0,315,335,0.67,2,0,293.15,293.15
218700,979,0,435,576,0.47,2,0,293.15,293.15
219600,428,0,262,169,0,2,0,293.15,293.15
220500,492,0,250,239,0.53,2,0,293.15,293.15
221400,641,0,283,355,0,1,0,293.15,293.15
222300,382,0,243,137,0.13,1,0,293.15,293.15
223200,758,0,437,344,0,1,0,293.15,293.15
224100,737,0,415,346,0.07,1,0,293.15,293.15
225000,396,0,246,148,0.13,1,0,293.15,293.15
225900,374,0,237,134,0.13,1,0,293.15,293.15
226800,326,0,195,128,0.13,1,0,293.15,293.15
227700,433,0,245,194,0,1,0,293.15,293.15
228600,629,0,330,326,0.4,1,0,293.15,293.15
229500,523,0,280,256,0.47,1,0,293.15,293.15
230400,324,0,196,125,0.07,1,0,293.15,293.15
231300,414,0,261,150,0.07,1,0,293.15,293.15
232200,414,0,259,152,0.13,1,0,293.15,293.15
233100,611,0,352,274,0.53,1,0,293.15,293.15
234000,792,0,454,361,0.4,1,0,293.15,293.15
234900,635,0,382,260,0,2,1,293.15,293.15
235800,535,0,338,195,0,1,1,293.15,293.15
236700,431,0,270,158,0.4,1,1,293.15,293.15
237600,356,0,213,148,0,1,1,293.15,293.15
238500,282,0,152,147,0,0,1,293.15,293.15
239400,260,0,135,141,0,0,0,293.15,293.15
240300,122,0,64,63,0,0,0,293.15,293.15
241200,50,0,31,16,0,0,0,293.15,293.15
242100,50,0,31,16,0,0,0,293.15,293.15
243000,215,0,107,122,0,0,0,293.15,293.15
243900,311,0,166,160,0.8,1,0,293.15,293.15
244800,326,0,181,158,0,1,0,293.15,293.15
245700,244,0,146,100,0.13,2,0,293.15,293.15
246600,345,0,216,126,0.13,2,0,293.15,293.15
247500,354,0,205,153,0,2,0,293.15,293.15
248400,408,0,212,212,0.27,2,0,293.15,293.15
249300,413,0,224,199,1,2,0,293.15,293.15
250200,526,0,291,248,0,2,0,293.15,293.15
251100,410,0,250,158,0.8,2,0,293.15,293.15
252000,431,0,270,158,0.87,3,0,293.15,293.15
252900,687,0,408,292,0.2,2,0,293.15,293.15
253800,687,0,408,292,0.13,2,0,293.15,293.15
254700,505,0,312,201,0,0,2,293.15,293.15
255600,435,0,258,188,0,0,2,289.15,291.15
256500,260,0,167,90,0,0,2,289.15,291.15
257400,181,0,107,77,0,0,2,289.15,291.15
258300,240,0,118,138,0,0,2,289.15,291.15
259200,113,0,60,57,0,0,2,289.15,291.15
260100,184,0,93,102,0,0,2,289.15,291.15
261000,153,0,78,82,0,0,2,289.15,291.15
261900,50,0,31,16,0,0,2,289.15,291.15
262800,189,0,95,106,0,0,2,289.15,291.15
263700,215,0,107,122,0,0,2,289.15,291.15
264600,60,0,36,23,0,0,2,289.15,291.15
265500,205,0,102,116,0,0,2,289.15,291.15
266400,122,0,64,63,0,0,2,289.15,291.15
267300,88,0,48,41,0,0,2,289.15,291.15
268200,240,0,118,138,0,0,2,289.15,291.15
269100,126,0,66,65,0,0,2,289.15,291.15
270000,91,0,50,43,0,0,2,289.15,291.15
270900,210,0,106,117,0.8,1,2,289.15,291.15
271800,733,0,212,523,0.07,1,2,289.15,291.15
272700,235,0,133,112,0,0,3,289.15,291.15
273600,259,0,142,132,0,0,4,289.15,291.15
274500,82,0,60,19,0,0,4,289.15,291.15
275400,135,0,76,64,0,0,4,289.15,291.15
276300,205,0,102,116,0,0,4,289.15,291.15
277200,86,0,47,39,0,0,4,289.15,291.15
278100,240,0,118,138,0,0,4,289.15,291.15
279000,139,0,72,73,0,0,4,289.15,291.15
279900,50,0,31,16,0,0,4,289.15,291.15
280800,153,0,78,82,0,0,4,293.15,289.15
281700,184,0,93,102,0,0,4,293.15,289.15
282600,164,0,83,89,0,0,4,293.15,289.15
283500,240,0,118,138,0,0,4,293.15,289.15
284400,50,0,31,16,0,0,4,293.15,289.15
285300,50,0,31,16,0,0,4,293.15,289.15
286200,184,0,93,102,0,0,4,293.15,289.15
287100,166,0,84,91,0,0,4,293.15,289.15
288000,240,0,118,138,0,0,4,293.15,289.15
288900,151,0,78,81,0,0,4,293.15,289.15
289800,55,0,34,19,0,1,3,293.15,289.15
290700,208,0,58,68,0.13,2,2,293.15,289.15
291600,682,0,142,249,0.07,1,2,289.15,289.15
292500,748,0,177,283,0.07,2,1,289.15,289.15
293400,3596,0,1294,2015,0.4,2,1,289.15,289.15
294300,2227,0,749,1173,0.13,3,0,289.15,289.15
295200,631,0,134,191,0,3,0,289.15,289.15
296100,695,0,172,221,0.4,2,0,289.15,289.15
297000,814,0,298,307,0.07,2,0,289.15,289.15
297900,567,0,318,269,0.93,2,0,289.15,289.15
298800,447,0,266,189,0.13,4,0,289.15,289.15
299700,322,0,204,115,0.8,3,0,289.15,289.15
300600,413,0,260,150,0.13,3,0,289.15,289.15
301500,2036,0,1039,1001,0.07,3,0,289.15,289.15
302400,1384,0,710,696,0.13,3,0,289.15,289.15
303300,927,0,305,639,0,2,1,289.15,289.15
304200,960,0,129,82,0.33,2,1,289.15,289.15
305100,1436,0,119,67,0.8,2,1,289.15,289.15
306000,899,0,147,84,0.07,2,1,289.15,289.15
306900,403,0,231,180,0.07,2,1,289.15,289.15
307800,1215,0,465,778,0.87,2,1,289.15,289.15
308700,570,0,341,239,0.47,2,1,289.15,289.15
309600,977,0,374,600,0,1,1,289.15,289.15
310500,355,0,226,127,0.07,1,1,289.15,289.15
311400,323,0,205,115,0,2,1,289.15,289.15
312300,604,0,332,291,0.93,2,1,289.15,289.15
313200,670,0,358,339,0.13,2,1,289.15,289.15
314100,415,0,240,175,1.33,2,1,289.15,289.15
315000,333,0,193,136,0,2,1,289.15,289.15
315900,391,0,237,150,0,2,1,289.15,289.15
316800,389,0,239,148,0.13,2,1,289.15,289.15
317700,701,0,376,354,0.13,2,1,289.15,289.15
318600,1107,0,469,656,0.6,2,1,289.15,289.15
319500,504,0,309,192,0.2,2,1,289.15,289.15
320400,504,0,309,192,0.07,2,1,293.15,293.15
321300,397,0,239,155,0,2,1,293.15,293.15
322200,548,0,323,232,0.07,2,1,293.15,293.15
323100,748,0,407,372,0.93,2,1,293.15,293.15
324000,495,0,291,210,0,2,1,293.15,293.15
324900,451,0,280,168,1.07,2,1,293.15,293.15
325800,534,0,337,194,0,2,1,293.15,293.15
326700,597,0,376,218,0.07,2,1,293.15,293.15
327600,1034,0,415,639,0.07,2,1,293.15,293.15
328500,2867,0,769,2126,1.27,2,1,293.15,293.15
329400,1901,0,543,1357,1,2,1,293.15,293.15
330300,535,0,338,195,0,3,1,293.15,293.15
331200,535,0,338,195,0.13,3,1,293.15,293.15
332100,853,0,407,448,0.07,4,0,293.15,293.15
333000,1095,0,518,603,0.07,3,1,293.15,293.15
333900,733,0,429,321,0.8,3,1,293.15,293.15
334800,535,0,338,195,0.2,3,1,293.15,293.15
335700,535,0,338,195,0.2,3,1,293.15,293.15
336600,535,0,338,195,0.4,3,1,293.15,293.15
337500,675,0,402,284,0.4,3,1,293.15,293.15
338400,834,0,476,386,0.13,3,1,289.15,291.15
339300,639,0,386,261,0.13,3,1,289.15,291.15
340200,535,0,338,195,0,3,1,289.15,291.15
341100,602,0,382,216,0,3,1,289.15,291.15
342000,618,0,385,233,0,2,2,289.15,291.15
342900,1136,0,498,655,0.87,1,3,289.15,291.15
343800,766,0,444,342,0.07,1,3,289.15,291.15
344700,580,0,346,239,0.4,1,3,289.15,291.15
345600,447,0,272,172,0.4,1,3,289.15,291.15
346500,306,0,181,122,0.07,1,3,289.15,291.15
347400,855,0,322,542,0.07,1,3,289.15,291.15
348300,480,0,252,247,0.2,1,3,289.15,291.15
349200,350,0,186,176,0,1,3,289.15,291.15
350100,98,0,56,43,0,0,4,289.15,291.15
351000,50,0,31,16,0,0,4,289.15,291.15
351900,75,0,43,33,0,0,4,289.15,291.15
352800,240,0,118,138,0,0,4,289.15,291.15
353700,211,0,105,119,0,0,4,289.15,291.15
354600,205,0,102,116,0,0,4,289.15,291.15
355500,60,0,36,23,0,0,4,289.15,291.15
356400,50,0,31,16,0,0,4,289.15,291.15
357300,164,0,83,89,0,0,4,289.15,291.15
358200,240,0,118,138,0,0,4,289.15,291.15
359100,153,0,78,82,0,0,4,289.15,291.15
360000,184,0,93,102,0,0,4,289.15,291.15
360900,50,0,31,16,0,0,4,289.15,291.15
361800,63,0,37,24,0,0,4,289.15,291.15
362700,240,0,118,138,0,0,4,289.15,291.15
363600,151,0,78,81,0,0,4,289.15,291.15
364500,184,0,93,102,0,0,4,289.15,291.15
365400,153,0,78,82,0,0,4,289.15,291.15
366300,50,0,31,16,0,0,4,289.15,291.15
367200,151,0,78,81,0,0,4,293.15,289.15
368100,240,0,118,138,0,0,4,293.15,289.15
369000,73,0,41,31,0,0,4,293.15,289.15
369900,224,0,112,124,0.13,1,3,293.15,289.15
370800,197,0,105,96,0,1,3,293.15,289.15
371700,146,0,84,60,0,1,3,293.15,289.15
372600,240,0,118,138,0,0,3,293.15,289.15
373500,212,0,95,106,0,1,2,293.15,289.15
374400,576,0,94,180,0.07,1,2,293.15,289.15
375300,714,0,159,263,0.07,2,1,293.15,289.15
376200,691,0,167,222,0.13,2,1,293.15,289.15
377100,775,0,211,267,0.13,2,1,293.15,289.15
378000,1375,0,257,332,0.53,2,1,289.15,289.15
378900,1938,0,170,217,0.4,2,1,289.15,289.15
379800,1542,0,177,235,0.47,2,1,289.15,289.15
380700,756,0,187,279,0.8,2,1,289.15,289.15
381600,550,0,83,162,0.2,1,1,289.15,289.15
382500,254,0,112,137,0,0,1,289.15,289.15
383400,177,0,89,97,0.07,0,1,289.15,289.15
384300,71,0,43,26,0.8,1,1,289.15,289.15
385200,153,0,78,82,0.87,0,1,289.15,289.15
386100,184,0,93,102,0.07,1,0,289.15,289.15
387000,126,0,66,65,0,1,0,289.15,289.15
387900,269,0,134,151,0.93,1,0,289.15,289.15
388800,152,0,84,69,0.13,2,0,289.15,289.15
389700,98,0,60,35,0,2,0,289.15,289.15
390600,287,0,164,134,0.4,1,0,289.15,289.15
391500,565,0,157,415,0.07,2,0,289.15,289.15
392400,917,0,316,615,0.8,2,0,289.15,289.15
393300,426,0,261,177,0.93,2,0,289.15,289.15
394200,366,0,244,120,0.53,2,0,289.15,289.15
395100,563,0,244,175,0,2,0,289.15,289.15
396000,976,0,340,346,0,2,0,289.15,289.15
396900,2632,0,541,1798,0,2,0,289.15,289.15
397800,2960,0,603,2070,0.27,2,0,289.15,289.15
398700,883,0,223,359,0,2,0,289.15,289.15
399600,628,0,140,182,0,1,1,289.15,289.15
400500,699,0,185,212,0,1,1,289.15,289.15
401400,962,0,331,341,0.4,1,1,289.15,289.15
402300,1429,0,366,776,0,2,0,289.15,289.15
403200,798,0,218,289,0,3,0,289.15,289.15
404100,613,0,246,203,0,3,0,289.15,289.15
405000,521,0,325,193,0.07,3,0,289.15,289.15
405900,675,0,405,274,0.93,3,0,289.15,289.15
406800,1546,0,537,1027,0,3,0,293.15,293.15
407700,3345,0,849,2514,0,3,0,293.15,293.15
408600,1261,0,406,859,0.2,3,0,293.15,293.15
409500,498,0,259,152,0.07,3,0,293.15,293.15
410400,1679,0,270,158,0.4,3,0,293.15,293.15
411300,1887,0,386,261,0,3,0,293.15,293.15
412200,788,0,445,368,2,3,0,293.15,293.15
413100,659,0,376,297,0,3,0,293.15,293.15
414000,455,0,275,177,0.27,2,0,293.15,293.15
414900,504,0,309,192,0.13,2,0,293.15,293.15
415800,527,0,330,194,0.07,2,0,293.15,293.15
416700,708,0,417,305,0,2,0,293.15,293.15
417600,829,0,473,382,0,3,0,293.15,293.15
418500,603,0,368,240,0,3,0,293.15,293.15
419400,1060,0,423,634,0.93,3,0,293.15,293.15
420300,535,0,338,195,0,3,0,293.15,293.15
421200,656,0,417,238,0.07,4,0,293.15,293.15
422100,817,0,468,375,0.87,4,0,293.15,293.15
423000,785,0,453,354,0.53,4,0,293.15,293.15
423900,597,0,381,214,0.13,3,0,293.15,293.15
424800,414,0,259,152,0,3,0,289.15,291.15
425700,487,0,307,178,0.07,2,1,289.15,291.15
426600,513,0,311,206,0.4,2,1,289.15,291.15
427500,880,0,497,415,0,2,1,289.15,291.15
428400,665,0,398,278,0.13,2,1,289.15,291.15
429300,535,0,338,195,0,2,1,289.15,291.15
430200,524,0,330,191,0.4,2,1,289.15,291.15
431100,330,0,201,126,0,1,2,289.15,291.15
432000,540,0,303,254,0.93,1,2,289.15,291.15
432900,748,0,407,372,0.13,1,2,289.15,291.15
433800,411,0,251,158,0,1,2,289.15,291.15
434700,371,0,220,149,0,1,2,289.15,291.15
435600,256,0,151,102,0.13,1,2,289.15,291.15
436500,63,0,37,24,0,0,3,289.15,291.15
437400,343,0,166,204,0,0,3,289.15,291.15
438300,299,0,147,173,0.07,1,2,289.15,291.15
439200,50,0,31,16,0,0,3,289.15,291.15
440100,50,0,31,16,0,0,3,289.15,291.15
441000,50,0,31,16,0,0,3,289.15,291.15
441900,151,0,78,81,0,0,3,289.15,291.15
442800,374,0,180,224,0,0,3,289.15,291.15
443700,166,0,84,91,0,0,3,289.15,291.15
444600,50,0,31,16,0,0,3,289.15,291.15
445500,50,0,31,16,0,0,3,289.15,291.15
446400,50,0,31,16,0,0,3,289.15,291.15
447300,250,0,123,145,0,0,3,289.15,291.15
448200,319,0,155,189,0,0,3,289.15,291.15
449100,122,0,64,63,0,0,3,289.15,291.15
450000,50,0,31,16,0,0,3,289.15,291.15
450900,50,0,31,16,0,0,3,289.15,291.15
451800,149,0,78,78,0,0,3,289.15,291.15
452700,409,0,208,222,0,1,2,289.15,291.15
453600,963,0,314,664,0.13,1,2,293.15,289.15
454500,291,0,160,133,0,1,2,293.15,289.15
455400,250,0,141,106,0.4,1,2,293.15,289.15
456300,258,0,149,107,0,2,2,293.15,289.15
457200,459,0,252,222,0,2,2,293.15,289.15
458100,593,0,335,276,0.4,2,2,293.15,289.15
459000,558,0,320,250,0,2,2,293.15,289.15
459900,413,0,253,158,0,2,2,293.15,289.15
460800,487,0,291,194,0,2,2,293.15,289.15
461700,1073,0,393,685,0.07,3,1,293.15,289.15
462600,652,0,352,316,0,3,1,293.15,289.15
463500,603,0,330,285,0.13,3,1,293.15,289.15
464400,578,0,318,271,0,3,1,289.15,289.15
465300,771,0,288,481,0.53,3,1,289.15,289.15
466200,381,0,229,150,0.13,2,1,289.15,289.15
467100,2281,0,1173,1122,0.13,3,0,289.15,289.15
468000,1581,0,823,769,0.93,3,0,289.15,289.15
468900,932,0,365,577,0,3,0,289.15,289.15
469800,537,0,301,243,0.8,3,0,289.15,289.15
470700,346,0,195,148,0.93,3,0,289.15,289.15
471600,912,0,294,622,0.53,3,0,289.15,289.15
472500,1338,0,691,664,0.8,2,0,289.15,289.15
473400,2089,0,1078,1014,0,2,0,289.15,289.15
474300,929,0,509,433,0,2,0,289.15,289.15
475200,2476,0,1287,1194,0,2,0,289.15,289.15
